SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
MAWANASUG, EQ, 09-Apr-2019,46.05,46.6,47.8,45.8,47.2,47,46.75,121159,56.64,1006,48939,40.39
MAXINDIA, EQ, 09-Apr-2019,69.75,69.3,72.6,69.1,70,70.15,70.44,555341,391.17,4949,273545,49.26
MAXVIL, EQ, 09-Apr-2019,45.25,44,45.65,44,45.4,45.35,45.27,29027,13.14,310,14641,50.44
MAYURUNIQ, EQ, 09-Apr-2019,349.55,352.95,352.95,346.5,346.95,346.9,348.19,4249,14.79,995,2660,62.6
MAZDA, EQ, 09-Apr-2019,440.25,427,447,427,435,432.5,438.1,8680,38.03,385,6196,71.38
MBAPL, SM, 09-Apr-2019,67.4,61.5,61.5,61.5,61.5,61.5,61.5,3000,1.85,1,3000,100
MBECL, BE, 09-Apr-2019,7.45,7.15,7.3,7.1,7.1,7.1,7.12,15023,1.07,46, -, -
MBLINFRA, EQ, 09-Apr-2019,13.45,13.4,13.65,13.15,13.6,13.45,13.43,32342,4.34,97,24482,75.7
MCDHOLDING, EQ, 09-Apr-2019,23.4,23.3,23.3,22.6,23.2,23.15,23.14,10564,2.44,74,8524,80.69
MCDOWELL-N, EQ, 09-Apr-2019,533.55,533,546,532.1,544.15,544.3,540.21,1629349,8801.91,45772,549934,33.75
MCL, SM, 09-Apr-2019,324.65,327.5,332,327.5,330,330,330.1,12000,39.61,7,6000,50
MCLEODRUSS, EQ, 09-Apr-2019,83.55,84.4,84.4,82.7,84,83.6,83.27,63615,52.97,1099,34695,54.54
MCX, EQ, 09-Apr-2019,769.25,774.75,774.75,761.3,767,766.3,767.68,691255,5306.6,21448,365609,52.89
MEGASOFT, EQ, 09-Apr-2019,6.9,7,7.1,6.75,7,6.95,6.81,4233,0.29,18,3794,89.63
MEGH, EQ, 09-Apr-2019,61.35,61,61.5,59.5,60.2,60.1,60.15,893242,537.28,4553,592530,66.33
MENONBE, EQ, 09-Apr-2019,83.35,83.9,83.9,81,82.6,82.25,81.85,17111,14.01,445,8811,51.49
MEP, EQ, 09-Apr-2019,41.3,41.6,42.95,40.15,42,42.3,40.54,6706338,2718.64,6015,5470470,81.57
MERCATOR, EQ, 09-Apr-2019,6,6.1,6.1,5.7,5.7,5.7,5.72,1104947,63.19,584,633226,57.31
MERCK, EQ, 09-Apr-2019,3805.5,3820,3994,3806,3950,3948.05,3913.38,79973,3129.65,10061,35016,43.78
METALFORGE, EQ, 09-Apr-2019,10.65,11.1,11.45,10.5,11.15,11.1,11.14,84112,9.37,247,43922,52.22
METKORE, BE, 09-Apr-2019,0.85,0.85,0.9,0.8,0.9,0.8,0.85,7605,0.06,12, -, -
MFSL, EQ, 09-Apr-2019,426.15,428.4,431,421.05,424.5,424.3,425.29,268462,1141.74,7618,79731,29.7
MGL, EQ, 09-Apr-2019,1009.15,1015,1020.95,1004.5,1016,1016.05,1017.18,358961,3651.27,19009,150589,41.95
MHRIL, EQ, 09-Apr-2019,237.8,239.7,239.7,231.4,233,233.5,234.95,17258,40.55,776,10693,61.96
MIC, BE, 09-Apr-2019,1.1,1.1,1.1,1.05,1.1,1.05,1.07,69645,0.75,76, -, -
MIDHANI, EQ, 09-Apr-2019,135,135.95,136,132.8,134,133.7,134.13,63619,85.33,1188,37781,59.39
MINDACORP, EQ, 09-Apr-2019,133.05,132,133.8,132,132.6,132.95,133.01,168338,223.9,978,158111,93.92
MINDAIND, EQ, 09-Apr-2019,345.35,347.6,352.7,343.1,347.5,347,348.55,92112,321.06,3380,47236,51.28
MINDTECK, EQ, 09-Apr-2019,40.85,40.15,42.1,40.1,40.95,41,41.3,5911,2.44,114,2903,49.11
MINDTREE, EQ, 09-Apr-2019,957.3,958.95,969.5,955.35,961.7,962.2,963.27,1182333,11389.01,32062,333345,28.19
MIRCELECTR, EQ, 09-Apr-2019,22.05,22,22.3,21.65,21.9,21.8,21.83,84452,18.44,455,41422,49.05
MIRZAINT, EQ, 09-Apr-2019,54.85,55.15,55.4,54.25,55,55,54.83,184101,100.95,937,114567,62.23
MITTAL, SM, 09-Apr-2019,115.75,117.1,121.5,117.1,121.5,121.5,117.9,16500,19.45,11,7500,45.45
MMFL, EQ, 09-Apr-2019,562.5,565.7,570,551.75,570,568.5,562.67,5951,33.48,470,3299,55.44
MMTC, EQ, 09-Apr-2019,28.2,28.2,28.3,27.65,28,28,27.91,678747,189.44,2339,194172,28.61
MODIRUBBER, BE, 09-Apr-2019,44,46,46.2,45,46.2,46.2,45.55,2211,1.01,12, -, -
MOHITIND, EQ, 09-Apr-2019,8.25,8.2,9.5,8.15,8.65,8.75,8.93,30731,2.74,297,15537,50.56
MOHOTAIND, EQ, 09-Apr-2019,37,36.75,38.7,35.2,37.8,37.2,36.59,4859,1.78,147,3142,64.66
MOIL, EQ, 09-Apr-2019,160.4,160.9,161.5,158.65,159.65,159.45,159.54,133954,213.71,3385,77536,57.88
MOKSH, SM, 09-Apr-2019,24,26.5,26.5,26.5,26.5,26.5,26.5,3000,0.8,1,3000,100
MOLDTECH, EQ, 09-Apr-2019,48.85,48.55,50,47.75,49,49.55,49.39,22854,11.29,122,21381,93.55
MOLDTKPAC, EQ, 09-Apr-2019,264.35,264.2,266.75,259.05,259.05,260.45,261.98,9820,25.73,568,6112,62.24
MONSANTO, EQ, 09-Apr-2019,2554.15,2560.05,2591,2535.05,2578.65,2578.65,2566.13,1743,44.73,862,1023,58.69
MONTECARLO, EQ, 09-Apr-2019,363.4,358,358,343.95,346.8,346.2,348.03,78138,271.94,1943,58782,75.23
MORARJEE, EQ, 09-Apr-2019,24,24.55,24.7,22.9,23.9,23.6,23.48,6380,1.5,78,4564,71.54
MOREPENLAB, EQ, 09-Apr-2019,17.6,17.7,17.7,17.45,17.55,17.6,17.57,314496,55.25,699,167331,53.21
MOTHERSUMI, EQ, 09-Apr-2019,150.1,150.5,151.7,147.45,151.7,151.1,149.85,2997752,4492.09,48166,932662,31.11
MOTILALOFS, EQ, 09-Apr-2019,687.95,693.35,695.15,668.5,678.8,677.65,680.85,151878,1034.07,8770,72634,47.82
MOTOGENFIN, EQ, 09-Apr-2019,46.7,45.5,48,44.8,45.5,45.65,45.97,3373,1.55,65,1946,57.69
MPHASIS, EQ, 09-Apr-2019,976.65,979.75,992,968,984.8,986.3,984.44,271133,2669.15,19294,162953,60.1
MPSLTD, EQ, 09-Apr-2019,483.55,475.95,498,475.95,498,490.1,482.56,2042,9.85,167,1527,74.78
MRF, EQ, 09-Apr-2019,58921.3,59199,59350,57500,57700,57641.2,57878.85,8355,4835.78,5073,2740,32.79
MRO-TEK, EQ, 09-Apr-2019,36.25,35.6,37,35.05,35.05,35.55,35.69,1352,0.48,20,1051,77.74
MRPL, EQ, 09-Apr-2019,70.85,70.05,71.25,69.4,69.9,70,70.19,930903,653.38,5892,139690,15.01
MSPL, EQ, 09-Apr-2019,13,13.05,13.35,12.55,13.2,13,12.92,14404,1.86,92,9690,67.27
MSTCLTD, BE, 09-Apr-2019,106.95,108,109.1,104.3,107.6,108.5,107.6,22655,24.38,445, -, -
MTEDUCARE, EQ, 09-Apr-2019,80.25,81.5,82.5,79.95,80.9,81.45,81.11,188014,152.49,3592,85908,45.69
MTNL, EQ, 09-Apr-2019,12,12.1,12.2,11.8,11.95,11.9,11.94,1451533,173.38,1993,759215,52.3
MUKANDENGG, EQ, 09-Apr-2019,17.4,17.05,17.95,16.8,17.7,17.45,17.47,1847,0.32,34,1717,92.96
MUKANDLTD, EQ, 09-Apr-2019,56.15,55.85,57,55.15,55.25,55.55,55.77,20462,11.41,132,17340,84.74
MUKANDLTD, P1, 09-Apr-2019,6.4,6.45,6.45,6.45,6.45,6.45,6.45,880,0.06,1,880,100
MUKTAARTS, EQ, 09-Apr-2019,51.2,51.75,51.75,50.1,50.25,50.45,50.52,14280,7.21,238,9579,67.08
MUNJALAU, EQ, 09-Apr-2019,55.8,55.45,55.85,54.55,55.1,55.2,55.07,73413,40.43,1114,33156,45.16
MUNJALSHOW, EQ, 09-Apr-2019,163.9,162.05,166.9,162.05,164.3,163.7,163.94,3720,6.1,225,2107,56.64
MURUDCERA, EQ, 09-Apr-2019,22.1,22.25,22.25,21.5,21.7,21.8,21.82,13571,2.96,81,8846,65.18
MUTHOOTCAP, EQ, 09-Apr-2019,890.65,897.05,905,885.3,890.15,893.1,895.72,6157,55.15,514,4169,67.71
MUTHOOTFIN, EQ, 09-Apr-2019,613.65,613.65,616.15,601.7,614,613.55,608.67,606254,3690.11,15642,94208,15.54
MVL, EQ, 09-Apr-2019,0.25,0.2,0.25,0.2,0.25,0.2,0.23,185267,0.43,40,74183,40.04
N100, EQ, 09-Apr-2019,519.51,517,523.5,515.02,519,521.28,521.79,1932,10.08,192,1278,66.15
NABARD, N2, 09-Apr-2019,1108.12,1108.5,1112,1106.51,1112,1109.6,1107.98,1072,11.88,7,972,90.67
NACLIND, EQ, 09-Apr-2019,30.35,30.15,30.75,29.75,30.1,30.15,30.35,14617,4.44,106,13487,92.27
