SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ORBTEXP, EQ, 09-Apr-2019,114.95,115.2,115.95,112.95,114.6,115.25,114.96,3986,4.58,86,2930,73.51
ORCHIDPHAR, BZ, 09-Apr-2019,5.6,5.8,5.8,5.35,5.35,5.35,5.37,14107,0.76,98, -, -
ORICONENT, EQ, 09-Apr-2019,28.15,28.15,28.4,27.75,28.05,27.9,27.96,34253,9.58,300,19032,55.56
ORIENTABRA, EQ, 09-Apr-2019,26.9,27.55,27.55,26.5,27,26.6,26.76,2179,0.58,36,1795,82.38
ORIENTALTL, EQ, 09-Apr-2019,12.75,12.5,12.65,12.05,12.55,12.55,12.33,34874,4.3,213,21627,62.01
ORIENTBANK, EQ, 09-Apr-2019,109.2,109,111,107.2,110.2,110.3,109.45,5813652,6363.02,21723,1347976,23.19
ORIENTBELL, EQ, 09-Apr-2019,176.7,178,178.9,171.6,172.35,172.45,174.05,10619,18.48,380,6549,61.67
ORIENTCEM, EQ, 09-Apr-2019,97.05,98,98.8,94.6,94.7,95.3,95.6,119506,114.25,1433,60764,50.85
ORIENTELEC, EQ, 09-Apr-2019,157.4,158,158.3,154.05,155.55,156.65,155.79,69098,107.65,3371,43320,62.69
ORIENTHOT, EQ, 09-Apr-2019,46.2,46.7,47,45.55,46.25,46.2,46.2,7908,3.65,186,3009,38.05
ORIENTLTD, EQ, 09-Apr-2019,142.5,138.05,150.95,138,139.05,139.05,142.23,1262,1.79,44,641,50.79
ORIENTPPR, EQ, 09-Apr-2019,34.7,35,36.9,34.8,35.25,35.25,35.89,2330203,836.29,7915,740325,31.77
ORIENTREF, EQ, 09-Apr-2019,235.95,236,238.7,235,235.15,236.15,236.71,9409,22.27,2819,5804,61.69
ORISSAMINE, EQ, 09-Apr-2019,903.25,911,978.6,871,952,951.55,940.43,77739,731.08,7586,10791,13.88
ORTEL, BE, 09-Apr-2019,3.9,4,4,3.8,4,4,3.94,11916,0.47,8, -, -
ORTINLABSS, EQ, 09-Apr-2019,13.95,13.9,13.95,13.15,13.75,13.7,13.56,9014,1.22,78,4466,49.55
OSIAHYPER, ST, 09-Apr-2019,259,257,260.9,257,259,259,258.89,49200,127.37,122, -, -
OSWALAGRO, EQ, 09-Apr-2019,8.6,8.65,8.7,8.45,8.55,8.55,8.51,3165,0.27,29,2319,73.27
PAGEIND, EQ, 09-Apr-2019,23976.05,24100.05,24720,23800,24590,24576.8,24284.36,20815,5054.79,8055,4538,21.8
PAISALO, EQ, 09-Apr-2019,322.2,325,327,316.25,318,321.3,321.98,21502,69.23,432,1952,9.08
PALASHSECU, EQ, 09-Apr-2019,42.95,41.05,42.95,41,41,41.35,41.92,4061,1.7,25,240,5.91
PALREDTEC, EQ, 09-Apr-2019,32.2,32.05,32.95,30.8,31.65,31.9,31.81,4365,1.39,207,2360,54.07
PANACEABIO, EQ, 09-Apr-2019,179.25,205,212.8,196.45,199.95,200.6,203.75,1577929,3215.02,27719,315943,20.02
PANAMAPET, EQ, 09-Apr-2019,128.4,127.45,131.8,127.05,129.75,129.2,129.37,13347,17.27,809,3094,23.18
PAPERPROD, EQ, 09-Apr-2019,209.35,209.35,214.55,208.15,208.75,210.2,210.84,35232,74.28,613,24713,70.14
PARABDRUGS, BE, 09-Apr-2019,1.65,1.65,1.7,1.6,1.6,1.6,1.62,4397,0.07,11, -, -
PARACABLES, EQ, 09-Apr-2019,11.25,11.1,11.5,11.1,11.35,11.35,11.35,55586,6.31,126,37503,67.47
PARAGMILK, EQ, 09-Apr-2019,246.15,246.9,256.65,246.7,250.85,250.75,251.46,439706,1105.67,6385,253102,57.56
PARSVNATH, EQ, 09-Apr-2019,6.15,6.3,6.35,5.7,5.9,5.9,5.82,408387,23.78,459,267435,65.49
PATELENG, EQ, 09-Apr-2019,26.25,26.05,27,25.45,26.5,26.2,25.89,100848,26.11,647,41023,40.68
PATINTLOG, EQ, 09-Apr-2019,48.55,48.7,51.3,48.5,50,50.1,50.07,46364,23.21,498,36078,77.81
PATSPINLTD, EQ, 09-Apr-2019,10.55,10.5,10.7,10.3,10.7,10.65,10.6,6732,0.71,27,6488,96.38
PCJEWELLER, EQ, 09-Apr-2019,91.2,91.7,93.8,89.2,91.35,91.1,91.34,24219393,22122.1,77535,2631919,10.87
PDMJEPAPER, EQ, 09-Apr-2019,18.05,18.15,19,18.1,18.8,18.75,18.72,69913,13.08,415,29643,42.4
PDPL, EQ, 09-Apr-2019,8.2,8,8.35,7.4,7.4,7.4,7.62,25828,1.97,71,21802,84.41
PDSMFL, EQ, 09-Apr-2019,256.35,256.05,261,256.05,261,260.45,260,249,0.65,12,224,89.96
PEARLPOLY, BE, 09-Apr-2019,13,12.75,13.05,12.35,13.05,13.05,12.54,1489,0.19,16, -, -
PEL, EQ, 09-Apr-2019,2642.6,2647.8,2659.5,2617.4,2636.3,2636.25,2636.88,291683,7691.34,13907,109088,37.4
PENIND, EQ, 09-Apr-2019,37.95,37.8,37.9,36.7,37.25,37.2,37.34,88853,33.18,521,68335,76.91
PENINLAND, EQ, 09-Apr-2019,9.05,9,9.2,8.9,9,8.95,9.03,159599,14.42,331,82500,51.69
PENPEBS, EQ, 09-Apr-2019,59.4,60.3,60.45,59,59.1,59.1,59.35,6103,3.62,81,4928,80.75
PENTAGOLD, SM, 09-Apr-2019,37,35.8,42.4,35.8,42.4,42.4,39.1,6000,2.35,2,6000,100
PERSISTENT, EQ, 09-Apr-2019,627.55,633,640,620.05,624.8,624.65,630.94,288336,1819.21,14312,151044,52.38
PETRONENGG, BE, 09-Apr-2019,18,17.45,18,17.1,17.75,17.75,17.24,3665,0.63,29, -, -
PETRONET, EQ, 09-Apr-2019,237.65,236.5,241.3,235.5,240,240,239.1,1793415,4288.06,41244,1112483,62.03
PFC, EQ, 09-Apr-2019,119,118.9,121.1,117.1,120.5,120.45,119.49,4944186,5907.6,23596,1457324,29.48
PFC, N4, 09-Apr-2019,1087.33,1086,1086,1086,1086,1086,1086,100,1.09,1,100,100
PFC, N8, 09-Apr-2019,1299.65,1304,1307,1292,1292,1292.84,1294.44,416,5.38,12,363,87.26
PFIZER, EQ, 09-Apr-2019,3301.3,3318.95,3318.95,3230,3240,3252.75,3263.16,11316,369.26,3045,6700,59.21
PFOCUS, EQ, 09-Apr-2019,63.15,64,64.15,62.7,64,63.8,63.71,3302,2.1,35,2927,88.64
PFS, EQ, 09-Apr-2019,16.75,16.8,16.8,16.25,16.65,16.65,16.58,435659,72.21,1127,251771,57.79
PGEL, EQ, 09-Apr-2019,75.85,76.1,77.9,74.55,75.9,75.75,76,177400,134.82,1207,66648,37.57
PGHH, EQ, 09-Apr-2019,10719.35,10730,10850,10535,10750,10777.45,10717.15,3128,335.23,1188,1774,56.71
PGIL, EQ, 09-Apr-2019,167.4,167,173.85,166.2,169,169.5,168.98,3113,5.26,100,2705,86.89
PHILIPCARB, EQ, 09-Apr-2019,169.35,169.95,169.95,167,167.7,167.8,167.74,240065,402.7,5435,124777,51.98
PHOENIXLTD, EQ, 09-Apr-2019,646.8,635.1,650.25,635.1,648,648.5,646.59,8724,56.41,3045,5694,65.27
PIDILITIND, EQ, 09-Apr-2019,1284.95,1278.55,1278.9,1263.65,1276.5,1274.65,1270.97,318969,4053.99,18531,81487,25.55
PIIND, EQ, 09-Apr-2019,1018.75,1016,1018.55,1000,1007,1006.85,1009.08,197374,1991.66,5316,178158,90.26
PILANIINVS, EQ, 09-Apr-2019,2312,2399,2478.5,2300.1,2460,2471.5,2420.95,12808,310.08,904,3933,30.71
PILITA, EQ, 09-Apr-2019,6.8,7.35,7.45,7.3,7.4,7.35,7.4,215214,15.93,433,161596,75.09
PIONDIST, EQ, 09-Apr-2019,152.05,148,152.45,145.55,146,146.05,147.1,4575,6.73,152,3444,75.28
PIONEEREMB, BE, 09-Apr-2019,23.15,22.4,23.95,22.4,23.45,23.05,22.73,273,0.06,7, -, -
PIRPHYTO, BE, 09-Apr-2019,35,35,35.85,35,35.05,35.1,35.43,18007,6.38,30, -, -
PITTIENG, EQ, 09-Apr-2019,56.2,56.7,56.85,55,55.7,55.8,55.66,14143,7.87,327,10858,76.77
PKTEA, BE, 09-Apr-2019,166,165,165,160,160,160.6,161.03,3356,5.4,41, -, -
PLASTIBLEN, EQ, 09-Apr-2019,192,192.15,193,192,192,192.3,192.05,869,1.67,23,819,94.25
PNB, EQ, 09-Apr-2019,93.1,93.2,94.65,91.6,94.25,94.35,93.06,35537791,33071.96,82773,4937460,13.89
PNBGILTS, EQ, 09-Apr-2019,31.35,31.1,32.5,31.1,32.3,32,31.77,90768,28.83,413,72401,79.76
PNBHOUSING, EQ, 09-Apr-2019,908.55,906,910,885.55,892,893.85,893.28,234202,2092.08,12339,80033,34.17
PNC, EQ, 09-Apr-2019,17.1,17.9,17.9,16.95,17.4,17.5,17.68,13418,2.37,21,12006,89.48
PNCINFRA, EQ, 09-Apr-2019,148.75,149.05,151.8,146.15,150.15,150.6,149.1,41599,62.02,1005,19039,45.77
PODDARHOUS, EQ, 09-Apr-2019,586.75,597.85,597.85,565,572.05,576.65,575.75,2325,13.39,264,926,39.83
PODDARMENT, EQ, 09-Apr-2019,175.1,176,177,171.95,177,177,173.89,3168,5.51,96,1860,58.71
POKARNA, EQ, 09-Apr-2019,182.6,182.5,184,174.65,183,178.75,178.73,33981,60.73,595,19079,56.15
POLYMED, EQ, 09-Apr-2019,218,217,223.2,216.05,217,217,217.08,3583,7.78,67,3031,84.59
POLYPLEX, EQ, 09-Apr-2019,517.25,517.25,527.5,511.5,525.25,524.5,518.75,18743,97.23,575,14033,74.87
PONNIERODE, EQ, 09-Apr-2019,132.25,137.4,137.5,133,133,133.4,134.18,1696,2.28,100,1100,64.86
POWERGRID, EQ, 09-Apr-2019,198.35,198.95,199.35,197.05,198.25,198.35,198.29,5993930,11885.07,49801,4473069,74.63
POWERMECH, EQ, 09-Apr-2019,960.5,945.6,964.8,932.25,948,947.3,945.2,2240,21.17,279,1233,55.04
PPAP, EQ, 09-Apr-2019,297.2,303.65,305,294,305,303.15,298.28,28327,84.5,528,10209,36.04
PRABHAT, EQ, 09-Apr-2019,76,76.9,76.9,75.55,76.1,76,75.95,54485,41.38,421,43776,80.35
PRAENG, EQ, 09-Apr-2019,8.7,8.7,9.8,8.7,9.3,9.15,9.12,308835,28.18,432,217569,70.45
PRAJIND, EQ, 09-Apr-2019,141.35,141.4,141.8,136.1,138,138.4,138.03,1685764,2326.85,17162,500766,29.71
PRAKASH, EQ, 09-Apr-2019,87.85,87.9,88.2,86.5,87.5,87.8,87.31,356660,311.42,2451,179167,50.23
PRAKASHCON, EQ, 09-Apr-2019,3.6,3.5,3.6,3.5,3.5,3.5,3.54,50771,1.79,69,43442,85.56
PRAXIS, EQ, 09-Apr-2019,160.85,164,165,160.1,160.65,161.75,162.95,10039,16.36,275,7813,77.83
PRECAM, EQ, 09-Apr-2019,58.35,58.35,60,58.1,59.3,59.3,58.98,3354,1.98,79,2028,60.47
PRECOT, EQ, 09-Apr-2019,47,44.65,47.8,44.45,44.5,46,46.2,858,0.4,12,110,12.82
PRECWIRE, EQ, 09-Apr-2019,202.65,201.3,205.25,200.9,203.25,203.5,204.12,3151,6.43,121,2026,64.3
PREMEXPLN, EQ, 09-Apr-2019,237.65,239.75,239.75,233.9,236.75,236.2,235.34,4221,9.93,175,3091,73.23
PREMIER, BE, 09-Apr-2019,6.4,6.25,6.25,6.2,6.2,6.2,6.23,2001,0.12,4, -, -
PREMIERPOL, EQ, 09-Apr-2019,27.1,27.25,27.55,26.5,26.5,26.5,26.57,1791,0.48,29,1399,78.11
PRESSMN, EQ, 09-Apr-2019,30,30,30.5,29.4,30.45,30.1,29.96,2131,0.64,32,1629,76.44
PRESTIGE, EQ, 09-Apr-2019,259.45,258.65,269.8,252.35,268,267.75,260.05,607316,1579.3,15013,410319,67.56
PRICOLLTD, EQ, 09-Apr-2019,34.6,34.5,39.9,34.4,39.7,38.85,35.77,1792851,641.32,4590,1344226,74.98
PRIMESECU, EQ, 09-Apr-2019,40.1,40.1,40.65,39.2,39.5,39.85,40.19,146102,58.72,442,112232,76.82
PROSEED, EQ, 09-Apr-2019,0.5,0.5,0.5,0.45,0.5,0.45,0.47,134991,0.63,43,134973,99.99
PROVOGE, BE, 09-Apr-2019,1.25,1.25,1.3,1.2,1.25,1.2,1.2,20722,0.25,34, -, -
PROZONINTU, EQ, 09-Apr-2019,31.8,31.85,32.7,30.75,32.1,31.95,31.86,119280,38.01,572,70579,59.17
PRSMJOHNSN, EQ, 09-Apr-2019,94.65,94,95.05,92.25,93.75,94.15,93.69,129576,121.4,1163,64931,50.11
PSB, EQ, 09-Apr-2019,30.85,30.8,31.5,30.35,31.25,31.1,30.77,73599,22.65,438,41835,56.84
PSL, EQ, 09-Apr-2019,1,1,1.1,1,1.1,1.05,1.06,109910,1.16,39,109910,100
PSPPROJECT, EQ, 09-Apr-2019,478.05,478,478.9,468.1,475.25,477.35,475.78,17005,80.91,773,9455,55.6
PSUBNKBEES, EQ, 09-Apr-2019,359.96,359.36,366.19,355.25,364.83,364.02,358.8,1205,4.32,54,955,79.25
PTC, EQ, 09-Apr-2019,75.25,74.9,75.45,73.6,74.1,74.1,74.31,425056,315.85,8281,249593,58.72
PTL, EQ, 09-Apr-2019,41.25,41.2,41.5,40.55,40.9,40.85,40.96,2644,1.08,73,1235,46.71
PUNJABCHEM, EQ, 09-Apr-2019,724.35,720.9,748,712,748,741.65,726.87,3245,23.59,272,2387,73.56
PUNJLLOYD, BE, 09-Apr-2019,2.1,2.1,2.2,2,2.1,2.1,2.1,876208,18.44,543, -, -
PURVA, EQ, 09-Apr-2019,75.1,74.9,76.5,73.5,75.05,75.05,74.63,198669,148.26,2674,111529,56.14
PVR, EQ, 09-Apr-2019,1681.9,1681.4,1687,1655,1674,1680.25,1671.04,255249,4265.31,17103,55951,21.92
QGOLDHALF, EQ, 09-Apr-2019,1407,1406,1414.4,1406,1408,1409.7,1411.04,68,0.96,30,18,26.47
QUESS, EQ, 09-Apr-2019,722.9,727,734.95,715.55,720,720.85,722.22,37491,270.77,7913,18812,50.18
QUICKHEAL, EQ, 09-Apr-2019,220.8,220.1,223.7,219.35,222,222.25,221.57,86237,191.08,2274,44826,51.98
RADAAN, EQ, 09-Apr-2019,3,2.85,3.1,2.85,3.1,3.1,3,177,0.01,5,177,100
RADICO, EQ, 09-Apr-2019,388.5,388.45,389.25,380.1,382.1,381.85,382.05,272205,1039.97,19365,131863,48.44
RADIOCITY, EQ, 09-Apr-2019,56.7,57,58,56.85,57.3,57.65,57.31,34458,19.75,334,22812,66.2
RAIN, EQ, 09-Apr-2019,103.9,104.35,104.45,99,101.1,101.15,101.1,907885,917.85,8992,448737,49.43
RAINBOWPAP, BE, 09-Apr-2019,1.15,1.1,1.2,1.1,1.1,1.1,1.12,41835,0.47,40, -, -
RAJESHEXPO, EQ, 09-Apr-2019,670.2,671.45,674.65,661.25,669.1,669.5,668.53,196446,1313.29,7551,36456,18.56
RAJMET, SM, 09-Apr-2019,26.2,26.4,26.4,26.1,26.25,26.25,26.26,24000,6.3,6,24000,100
RAJRAYON, BZ, 09-Apr-2019,0.1,0.05,0.1,0.05,0.1,0.05,0.06,1257666,0.7,100, -, -
RAJSREESUG, EQ, 09-Apr-2019,23.15,23,23.8,22.6,23.8,23.7,23.39,42516,9.94,235,20704,48.7
RALLIS, EQ, 09-Apr-2019,160.15,161.2,161.9,157.15,157.7,157.65,159.04,141073,224.37,5211,109875,77.89
RAMANEWS, EQ, 09-Apr-2019,22.35,22.3,22.9,22.1,22.3,22.3,22.51,60257,13.56,177,49700,82.48
RAMASTEEL, EQ, 09-Apr-2019,115.65,114.7,121.9,109.55,120,120.55,113.03,246731,278.89,739,187846,76.13
RAMCOCEM, EQ, 09-Apr-2019,760.1,763.85,763.85,743.55,753.55,751.7,751.41,299874,2253.29,14980,173953,58.01
RAMCOIND, EQ, 09-Apr-2019,209.55,209.1,212.6,206.8,211,211,209.31,14443,30.23,263,11951,82.75
RAMCOSYS, EQ, 09-Apr-2019,246.35,242.6,248,236.9,238.1,239.05,242.17,38189,92.48,1368,19869,52.03
RAMKY, EQ, 09-Apr-2019,104.85,104.05,105,101.8,103,102.35,102.91,44174,45.46,683,31725,71.82
RAMSARUP, BZ, 09-Apr-2019,0.5,0.55,0.55,0.55,0.55,0.55,0.55,1483,0.01,4, -, -
RANASUG, EQ, 09-Apr-2019,3.5,3.55,3.6,3.4,3.6,3.55,3.54,151165,5.35,138,69949,46.27
RANEENGINE, EQ, 09-Apr-2019,464.45,465,465.55,450.55,450.75,451.4,452.91,3196,14.47,247,1915,59.92
RANEHOLDIN, EQ, 09-Apr-2019,1212.35,1204.9,1204.9,1175,1175,1182.1,1196.4,2522,30.17,490,2000,79.3
RATNAMANI, EQ, 09-Apr-2019,904.05,898.1,909.85,883.5,904.4,896.5,897.16,4064,36.46,322,2963,72.91
RAYMOND, EQ, 09-Apr-2019,796.9,792.2,796.15,774.55,780,781.45,782.58,572261,4478.39,15769,164860,28.81
RBL, EQ, 09-Apr-2019,592,602,602,580,580,582,587.16,4051,23.79,533,1573,38.83
RBLBANK, EQ, 09-Apr-2019,655.95,657,669.35,651.7,669.25,668.1,663.59,905333,6007.7,29051,236914,26.17
RCF, EQ, 09-Apr-2019,60.85,60.95,60.95,59.5,60.1,60,59.99,865540,519.23,4092,307593,35.54
RCOM, EQ, 09-Apr-2019,3.2,3.05,3.05,3.05,3.05,3.05,3.05,5846693,178.32,4987,5286979,90.43
RECLTD, EQ, 09-Apr-2019,150.3,151,153.8,149.6,153.4,153.5,151.84,5298929,8045.79,31995,1444907,27.27
RECLTD, N1, 09-Apr-2019,1053,1048,1048,1046.81,1046.81,1046.85,1046.89,320,3.35,4,310,96.88
RECLTD, N2, 09-Apr-2019,1099,1099,1099,1099,1099,1099,1099,2,0.02,1,2,100
RECLTD, N6, 09-Apr-2019,1195,1171,1171,1171,1171,1171,1171,1000,11.71,1,1000,100
RECLTD, N8, 09-Apr-2019,1114,1110,1110,1090.01,1090.01,1091.47,1091.47,1005,10.97,7,1000,99.5
RECLTD, N9, 09-Apr-2019,1191.5,1195,1202,1191,1195,1195,1195.67,350,4.18,9,331,94.57
RECLTD, NF, 09-Apr-2019,1187,1190,1190,1190,1190,1190,1190,10,0.12,1,10,100
RECLTD, NG, 09-Apr-2019,1261,1260,1260,1260,1260,1260,1260,10,0.13,2,10,100
RECLTD, NH, 09-Apr-2019,1133,1133,1133,1133,1133,1133,1133,330,3.74,4,330,100
REDINGTON, EQ, 09-Apr-2019,98.4,99.05,100.75,97.8,97.9,98.75,99.19,243124,241.16,5327,196237,80.71
REFEX, BE, 09-Apr-2019,47.4,48.1,48.1,45.05,45.05,45.05,45.27,68709,31.1,258, -, -
RELAXO, EQ, 09-Apr-2019,849.2,845,845,837.25,844.7,842.6,841.48,13267,111.64,1160,7070,53.29
RELCAPITAL, EQ, 09-Apr-2019,187.35,188.5,189.5,177.35,186.9,187.2,183.02,12452872,22791.73,90994,639613,5.14
RELCNX100, EQ, 09-Apr-2019,120.66,120.66,120.66,120,120.66,120.66,120.63,2651,3.2,15,2651,100
RELCONS, EQ, 09-Apr-2019,51,51.06,51.16,50.61,50.81,50.81,50.77,665,0.34,19,542,81.5
RELDIVOPP, EQ, 09-Apr-2019,30.61,30.33,30.61,30.33,30.61,30.61,30.39,451,0.14,8,451,100
RELIABLE, SM, 09-Apr-2019,51.5,49.25,50,49.25,50,50,49.38,12000,5.93,6,12000,100
RELIANCE, EQ, 09-Apr-2019,1329.25,1328.9,1340.7,1321,1338,1334.45,1330.46,9497621,126361.6,202524,4554495,47.95
RELIGARE, EQ, 09-Apr-2019,32.6,32.8,33,30.4,31.05,31.1,31.3,216618,67.81,865,154523,71.33
RELINFRA, EQ, 09-Apr-2019,132.55,133.15,134.35,126.4,130.5,130.5,129.4,8534769,11043.91,59004,1133121,13.28
RELNV20, EQ, 09-Apr-2019,588.19,588,592,585.39,592,592,588.6,371,2.18,31,335,90.3
REMSONSIND, EQ, 09-Apr-2019,86.05,88,88.95,85.85,87.55,87.55,87.33,4179,3.65,40,1106,26.47
RENUKA, EQ, 09-Apr-2019,11.8,11.75,12.15,11.6,11.7,11.75,11.8,845503,99.77,1277,392931,46.47
REPCOHOME, EQ, 09-Apr-2019,450.7,450.05,459.9,441.65,459,456.25,449.68,433066,1947.42,10426,73308,16.93
REPL, SM, 09-Apr-2019,35,39.5,39.5,39.5,39.5,39.5,39.5,3000,1.19,1,3000,100
REPRO, EQ, 09-Apr-2019,575.55,578.8,589,565.2,575,576.15,574.13,1098,6.3,250,557,50.73
RESPONIND, EQ, 09-Apr-2019,91.1,92,92,90.2,91.9,90.9,91.05,93600,85.22,3415,9527,10.18
RETFMID150, EQ, 09-Apr-2019,63.96,74.75,74.75,63.78,64.61,64.6,64.1,69604,44.61,33,69283,99.54
REVATHI, EQ, 09-Apr-2019,398.25,400.55,400.55,400,400,400,400.14,150,0.6,4,150,100
RGL, EQ, 09-Apr-2019,306.85,309.8,309.8,305.1,305.1,306.3,307.18,2488,7.64,87,2012,80.87
RHFL, EQ, 09-Apr-2019,33.55,34,34,31.5,31.85,32,32.26,517189,166.87,2805,282653,54.65
RHFL, N2, 09-Apr-2019,960,940,949.99,925,949.99,949.99,930.5,341,3.17,19,300,87.98
RHFL, N6, 09-Apr-2019,900,849.99,849.99,849.99,849.99,849.99,849.99,25,0.21,1,25,100
RHFL, N8, 09-Apr-2019,860,850,850,850,850,850,850,10,0.09,1,10,100
RICOAUTO, EQ, 09-Apr-2019,65.9,66,67.45,65.15,65.2,65.45,66.33,186451,123.67,1592,85828,46.03
RIIL, EQ, 09-Apr-2019,365.5,361.95,365.3,350,350.35,352.1,357.65,965385,3452.69,18119,149685,15.51
RITES, EQ, 09-Apr-2019,243.45,243.9,245.8,241.1,243.8,244.45,243.58,126016,306.95,3980,55447,44
RKDL, BE, 09-Apr-2019,8.6,9,9,8.2,8.55,8.55,8.5,10001,0.85,25, -, -
RKEC, SM, 09-Apr-2019,60.95,60,61,60,61,61,60.5,2000,1.21,2,2000,100
RKFORGE, EQ, 09-Apr-2019,523,523.8,524.5,510.15,512,514.85,516.8,3834,19.81,280,2552,66.56
RMCL, EQ, 09-Apr-2019,17.2,17.5,17.5,16.35,16.8,16.75,16.75,393003,65.82,960,282425,71.86
RMDRIP, SM, 09-Apr-2019,49.6,48,48.5,48,48.5,48.5,48.48,44000,21.33,7,42000,95.45
RML, EQ, 09-Apr-2019,356.05,354.3,355.6,352.55,352.55,353.45,354.02,1774,6.28,168,1182,66.63
RNAM, EQ, 09-Apr-2019,199.65,201,201.05,193.1,198,198.15,197.77,294816,583.05,3907,163214,55.36
RNAVAL, EQ, 09-Apr-2019,10.15,10.15,10.45,9.4,9.95,9.9,9.86,917312,90.42,2545,352054,38.38
ROHITFERRO, BE, 09-Apr-2019,0.95,0.95,1,0.9,1,1,0.95,19252,0.18,9, -, -
ROHLTD, EQ, 09-Apr-2019,120.95,120.75,122.5,118.8,119.95,119.65,120.28,8031,9.66,253,3630,45.2
ROLLT, BE, 09-Apr-2019,2.3,2.25,2.25,2.2,2.2,2.2,2.2,13830,0.3,16, -, -
ROLTA, BE, 09-Apr-2019,6.6,6.45,6.9,6.35,6.45,6.45,6.54,172163,11.26,418, -, -
ROSSELLIND, EQ, 09-Apr-2019,64.8,65.6,66.9,63.85,63.9,64,64.5,4847,3.13,80,3205,66.12
RPGLIFE, EQ, 09-Apr-2019,246.05,246.25,246.25,240.8,242.2,242.75,242.53,3362,8.15,173,1760,52.35
RPOWER, EQ, 09-Apr-2019,10.2,10.25,10.3,9.6,9.85,9.85,9.9,41536749,4110.3,48692,13404172,32.27
RPPINFRA, EQ, 09-Apr-2019,121.1,120,124.4,118,123.7,122.7,121.92,19732,24.06,294,6384,32.35
RRSLGETF, EQ, 09-Apr-2019,18.45,18.41,18.41,18.41,18.41,18.41,18.41,843,0.16,9,843,100
RSSOFTWARE, EQ, 09-Apr-2019,31.6,32.2,32.5,31,31,31.2,31.6,77099,24.36,601,41519,53.85
RSWM, EQ, 09-Apr-2019,183.05,183.05,185,176.1,180,180.05,179.98,9724,17.5,563,4719,48.53
RSYSTEMS, EQ, 09-Apr-2019,48.7,49.7,50.2,46.6,47,46.95,48.33,49787,24.06,579,42733,85.83
RTNINFRA, EQ, 09-Apr-2019,2.75,2.8,2.8,2.7,2.75,2.75,2.76,255168,7.03,128,177348,69.5
RTNPOWER, EQ, 09-Apr-2019,2.85,2.85,2.9,2.75,2.8,2.8,2.79,732877,20.42,593,555836,75.84
RUBYMILLS, EQ, 09-Apr-2019,274.55,276.75,276.75,271.4,273,272.7,273.49,1790,4.9,120,1218,68.04
RUCHINFRA, BE, 09-Apr-2019,2.8,2.8,2.9,2.7,2.8,2.8,2.82,46969,1.32,36, -, -
RUCHIRA, EQ, 09-Apr-2019,105.55,106.2,112.5,105.35,110.9,110.3,110.31,201294,222.04,2990,85458,42.45
RUCHISOYA, EQ, 09-Apr-2019,6.6,6.65,6.75,6.4,6.5,6.45,6.51,671224,43.7,800,407650,60.73
RUPA, EQ, 09-Apr-2019,340.65,340.45,341,335.1,338.4,337.55,338.04,7215,24.39,399,4050,56.13
RUSHIL, EQ, 09-Apr-2019,455.3,456,546.35,455.05,546.35,546.35,524.82,186999,981.41,9273,30026,16.06
SABTN, BE, 09-Apr-2019,4.4,4.3,4.55,4.2,4.55,4.55,4.31,1338,0.06,6, -, -
SADBHAV, EQ, 09-Apr-2019,243.1,243,245.3,241.8,244,244.5,244.46,249698,610.42,1740,243492,97.51
SADBHIN, EQ, 09-Apr-2019,87.7,87,88.95,87,87.25,88.4,87.78,3424,3.01,71,1830,53.45
SAGARDEEP, BE, 09-Apr-2019,50.85,48.35,53.35,48.35,53.3,53.3,50.52,41062,20.74,214, -, -
SAGCEM, EQ, 09-Apr-2019,627,631.3,631.35,619.7,624.05,623.75,627.87,3388,21.27,234,2169,64.02
SAIL, EQ, 09-Apr-2019,59,59,59.1,57.25,58.95,58.85,58.24,21779368,12684.81,27636,2957019,13.58
SAKHTISUG, BE, 09-Apr-2019,11.15,11,11.4,10.7,11.15,11.2,11.1,20861,2.32,92, -, -
SAKSOFT, EQ, 09-Apr-2019,292.8,291.95,295,288.1,288.1,288.9,291.03,2866,8.34,150,1955,68.21
SAKUMA, EQ, 09-Apr-2019,32.85,33.4,36.5,33.1,34.7,34.65,34.9,1750807,611.09,8177,597113,34.11
SALASAR, EQ, 09-Apr-2019,205.35,206.1,217.4,206.1,212,209.8,210.74,28247,59.53,874,13688,48.46
SALONA, EQ, 09-Apr-2019,70.35,70,70,67.05,67.1,67.4,68.04,12,0.01,9,3,25
SALORAINTL, EQ, 09-Apr-2019,16.05,16.45,16.45,16.45,16.45,16.45,16.45,100,0.02,1,100,100
SALSTEEL, EQ, 09-Apr-2019,5.05,5.2,5.3,4.25,5.05,5,5.01,100474,5.03,197,35877,35.71
SALZERELEC, EQ, 09-Apr-2019,122.2,122.3,122.4,120.75,121.1,121,121.21,688,0.83,37,572,83.14
SAMBHAAV, EQ, 09-Apr-2019,4.4,4.25,4.45,4.25,4.4,4.45,4.38,19073,0.84,30,18042,94.59
SANCO, EQ, 09-Apr-2019,15,14.9,15.05,14.6,14.75,14.8,14.84,37714,5.6,368,8171,21.67
SANDESH, EQ, 09-Apr-2019,756.75,757.3,768.05,748.95,761,760.65,755.55,753,5.69,133,548,72.78
